OSS,,Unnamed: 0,Unnamed: 0.1.1,URL,average_rating,description,last_update,num_ratings,weekly_downloads,Category,last_update_days_ago,last_update_hours_ago,last_update_date,date_registered,days_since_release
Audacity,0,0,0,/projects/audacity/?source=directory,4.7,A free multi-track audio editor and recorder,6/21/16,287,108901,Audio and Video,113,2712,6/21/16,5/28/00,5981
OpenCV,1,1,1,/projects/opencvlibrary/?source=directory,4.8,Open Source Computer Vision Library,9/16/16,140,61781,Audio and Video,26,624,9/16/16,3/15/01,5690
VirtualDub,2,2,2,/projects/virtualdub/?source=directory,4.7,A video capture utility for 32-bit and 64-bit Windows platforms,5/23/14,123,32647,Audio and Video,873,20952,5/23/14,8/12/00,5905
Media Player Classic Home Cinema: MPC-HC,3,3,3,/projects/mpc-hc/?source=directory,4.8,"An extremely light-weight, open source media player for Windows",6/1/15,344,29597,Audio and Video,499,11976,6/1/15,6/21/06,3766
MP3Gain,4,4,4,/projects/mp3gain/?source=directory,4.9,Analyzes and adjusts the volume of MP3 files,6/19/15,97,22563,Audio and Video,481,11544,6/19/15,3/28/02,5312
ffdshow,5,5,5,/projects/ffdshow-tryout/?source=directory,4.9,A DirectShow and Video for Windows codec (VFW),8/9/15,91,18154,Audio and Video,430,10320,8/9/15,8/3/06,3723
DVD Flick,6,6,6,/projects/dvdflick/?source=directory,4.4,A simple but powerful DVD authoring tool,3/2/14,48,18531,Audio and Video,955,22920,3/2/14,6/15/06,3772
Equalizer APO,7,7,7,/projects/equalizerapo/?source=directory,4.5,A system-wide equalizer for Windows 7 / 8 / 8.1 / 10,8/23/16,88,14534,Audio and Video,50,1200,8/23/16,9/13/12,1490
MPC-BE,8,8,8,/projects/mpcbe/?source=directory,4.6,Media Player Classic - BE,3 hours ago,73,12160,Audio and Video,0,3,10/12/16,4/16/12,1640
avidemux,9,9,9,/projects/avidemux/?source=directory,4.4,"A free video editor to cut, filter, and encode projects",9/17/16,53,12736,Audio and Video,25,600,9/17/16,11/16/02,5079
MediathekView,10,10,10,/projects/zdfmediathk/?source=directory,4.5,MediathekView durchsucht die Mediathek ffentl.-rechtl. Sender,8/10/16,73,10888,Audio and Video,63,1512,8/10/16,3/27/08,3121
libjpeg-turbo,11,11,11,/projects/libjpeg-turbo/?source=directory,5,SIMD-accelerated libjpeg-compatible JPEG codec library,5 days ago,17,10445,Audio and Video,5,119,10/7/16,2/5/10,2441
PDF Split and Merge,12,12,12,/projects/pdfsam/?source=directory,4.2,Split and merge PDF files on any platform,10/2/16,171,11685,Audio and Video,10,240,10/2/16,2/15/06,3892
Burn,13,13,13,/projects/burn-osx/?source=directory,4.5,Simple but advanced disc burning for Mac OS X,9/18/14,40,11374,Audio and Video,755,18120,9/18/14,6/12/06,3775
CamStudio - Screen Recorder,14,14,14,/projects/camstudio/?source=directory,3.3,Free screen recording software,5/18/15,242,16408,Audio and Video,513,12312,5/18/15,2/20/05,4252
TEncoder Video Converter,15,15,15,/projects/tencoder/?source=directory,4.1,"A multithreaded A/V converter, editor, downloader, and DVD ripper",5/9/16,48,11872,Audio and Video,156,3744,5/9/16,6/24/11,1937
FileBot,16,16,16,/projects/filebot/?source=directory,4.7,The ultimate TV and Movie Renamer / Subtitle Downloader,11 hours ago,83,9193,Audio and Video,0,11,10/12/16,8/8/07,3353
TuxGuitar,17,17,17,/projects/tuxguitar/?source=directory,4.7,"TuxGuitar is a multitrack guitar tablature editor and player written in Java-SWT, It can open GuitarPro, PowerTab and TablEdit files.",3 days ago,98,9286,Audio and Video,3,71,10/9/16,12/22/05,3947
Universal Media Server,18,18,18,/projects/unimediaserver/?source=directory,4.3,Streams many media formats with minimal configuration,10/2/16,26,8837,Audio and Video,10,240,10/2/16,2/16/13,1334
SMPlayer,19,19,19,/projects/smplayer/?source=directory,4.5,Free media player with support for Youtube,4 days ago,127,7898,Audio and Video,4,95,10/8/16,1/2/07,3571
Hydrogen,20,20,20,/projects/hydrogen/?source=directory,4.7,An advanced drum machine with pattern-based programming,3 days ago,67,7602,Audio and Video,3,71,10/9/16,4/6/01,5668
Super Audio CD Decoder,21,21,21,/projects/sacddecoder/?source=directory,4.9,"Super Audio CD Decoder input plugin for foobar2000. Decoder is capable of playing back Super Audio CD ISO images, DSDIFF and DSF files. Direct DSD playback for compatible devices.",8/22/16,32,7002,Audio and Video,51,1224,8/22/16,7/7/11,1924
MediaPortal,22,22,22,/projects/mediaportal/?source=directory,4.7,Turn your PC into a very advanced MediaCenter/HTPC,7/6/16,67,7047,Audio and Video,98,2352,7/6/16,4/18/04,4560
fre:ac - free audio converter,23,23,23,/projects/bonkenc/?source=directory,4.5,Audio converter and CD ripper for various formats,11/22/15,75,7301,Audio and Video,325,7800,11/22/15,5/12/01,5632
