id,label,timeset,indegree,outdegree,degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,authority,hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
abc,,,5,2,7,1.0,1.0,1.0,17.0,0.02117228,8.19873E-4,36,2.0327016618009727E-4,0,2,0.02380952425301075,0.0514085391061276
abctools,,,3,0,3,0.0,0.0,0.0,0.0,0.0077554756,0.0,36,1.9307852317189828E-4,0,1,0.0,0.05925249255218097
EasyABC,,,5,0,5,0.0,0.0,0.0,0.0,0.020749236,0.0,36,2.0235858391795894E-4,0,0,0.05000000074505806,0.06355803857120074
abc.data,,,0,1,1,2.0,0.6,0.6666666666666666,0.0,0.0,6.089724E-4,36,1.0551808546768973E-4,0,3,0.0,0.0
abd,,,3,1,4,1.0,1.0,1.0,1.0,0.0056180595,0.0010714195,36,1.2937598854515208E-4,0,5,0.3333333432674408,0.17724630641847383
tigerstats,,,7,0,7,0.0,0.0,0.0,0.0,0.03725028,0.0,36,2.912914812964872E-4,0,4,0.1666666716337204,0.3446408377874653
abind,,,0,93,93,7.0,0.4724186704384724,0.5887795836897635,0.0,0.0,0.029484747,35,1.0551808546768973E-4,0,339,0.0018700327491387725,0.0
simSummary,,,3,0,3,0.0,0.0,0.0,0.0,0.0013267954,0.0,25,1.3058028879756514E-4,0,338,0.0,0.019530483460550637
NetRep,,,2,0,2,0.0,0.0,0.0,0.0,0.0038830661,0.0,35,1.0686464338739607E-4,0,337,0.0,0.019992143337444965
biomod2,,,17,1,18,1.0,1.0,1.0,23.083333333333332,0.039386664,3.489543E-4,35,2.703797645231956E-4,0,336,0.03921568766236305,0.32790986726777677
RcmdrPlugin.EACSPIR,,,7,0,7,0.0,0.0,0.0,0.0,0.0020021151,0.0,42,1.7793174949415472E-4,0,259,0.0714285746216774,0.480265600954811
ncdf.tools,,,7,1,8,1.0,1.0,1.0,1.5,0.0033928342,1.8892672E-4,35,1.8157686767195802E-4,0,335,0.1071428582072258,0.08653734934129535
